account_age_days,previous_failed_attempts,is_international,ip_risk_score,login_attempts_last_24h,transaction_amount,transaction_hour,avg_transaction_amount,transaction_type_Payment,transaction_type_Transfer,transaction_type_Withdrawal,payment_mode_Card,payment_mode_NetBanking,payment_mode_UPI,payment_mode_Wallet,device_type_Android,device_type_Web,device_type_iOS,fraud_label
0.901458019105078,0.25,0.0,0.605,1.0,0.5909588926424825,0.391304347826087,0.9784976436553436,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.7772750125691302,0.25,0.0,0.5545,0.625,0.04218296936558926,0.9565217391304348,0.8356785194697204,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.6259426847662142,0.0,0.0,0.205,0.75,0.2723699127474723,0.5217391304347826,0.992541980025803,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.6867772750125691,0.25,0.0,0.345,0.125,0.09441773271596297,0.8260869565217391,0.3992281874925935,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.13423831070889894,0.5,0.0,0.299,0.25,0.6714503457237971,0.21739130434782608,0.4691767087766892,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.4947209653092006,0.25,0.0,0.594,1.0,0.7161782555782721,0.4782608695652174,0.03209101067401701,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.7657114127702364,0.25,0.0,0.902,0.375,0.08698337437720752,0.0,0.763657861032239,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.6581196581196581,0.75,0.0,0.34,1.0,0.4163845463555463,0.5652173913043478,0.8768892769078224,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.9984917043740573,0.625,1.0,0.502,0.875,0.8343750006258214,0.21739130434782608,0.6896393811841912,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.16038210155857216,0.5,0.0,0.235,0.75,0.4275896541800768,0.391304347826087,0.3237846530626455,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.0824534942182001,0.25,0.0,0.822,0.25,0.24206713732445204,0.6086956521739131,0.6024840873926355,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.681246857717446,0.75,0.0,0.44,0.125,0.8291120925326584,0.7391304347826086,0.5472035521586045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.25339366515837103,0.5,0.0,0.666,0.875,0.1923452724045582,0.391304347826087,0.9067387640957213,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.8024132730015083,0.25,0.0,0.042,0.375,0.15633520559085856,0.5217391304347826,0.9370264463617757,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.5746606334841629,1.0,0.0,0.561,0.125,0.5633100007069279,0.8695652173913043,0.42610705350130923,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.21015585721468075,0.375,1.0,0.92,0.4625,0.565562357149995,0.2608695652173913,0.4175932143701205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.3886375062845651,1.0,0.0,0.221,0.125,0.17573967589858444,0.30434782608695654,0.7197988520561024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.2016088486676722,0.25,0.0,0.957,0.875,0.10116659126769799,0.43478260869565216,0.9720716751906601,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.845148315736551,0.0,0.0,0.308,0.25,0.0854045019492586,0.43478260869565216,0.6101851399311876,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.21769733534439417,0.25,0.0,0.718,0.875,0.747812779053786,0.5652173913043478,0.8426444487144381,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.002011060834590246,1.0,0.0,0.114,0.375,0.6339511242456849,0.17391304347826086,0.5146860628523721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.9145299145299145,0.75,0.0,0.5755000000000001,0.375,0.8249706564837005,0.4782608695652174,0.2544072248292244,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.4072398190045249,1.0,0.0,0.778,0.0,0.03929377701170556,0.5217391304347826,0.6665355540573383,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.46907993966817496,0.25,0.0,0.67,0.375,0.8624422416864376,0.6956521739130435,0.08083979467430623,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.759175465057818,0.75,0.0,0.067,1.0,0.29452719639799196,0.43478260869565216,0.5916038609371683,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.9597787833081951,0.75,0.0,0.758,0.75,0.6362645608625882,0.8695652173913043,0.7948771681283212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.2538964303670186,0.5,0.0,0.786,1.0,0.3548776123539758,0.17391304347826086,0.3991056669436211,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
