Date,Units Sold,Inventory Level,Price,Discount,Competitor Pricing,Store ID,Region
2022-01-01,2762,4880,50.9055,20,51.7885,S001,North
2022-01-02,2093,5294,48.0775,20,47.639,S001,West
2022-01-03,2220,4543,64.30550000000001,20,64.2385,S001,West
2022-01-04,2352,5187,58.446000000000005,20,58.79,S001,South
2022-01-05,1747,6049,60.271,20,59.711,S001,South
2022-01-06,2358,4685,60.8865,20,60.162,S001,East
2022-01-07,2449,5794,48.545,20,47.691500000000005,S001,North
2022-01-08,2665,6133,43.962,20,43.939,S001,East
2022-01-09,3194,5726,55.3365,20,54.5465,S001,South
2022-01-10,2631,5839,48.060500000000005,20,47.0695,S001,West
2022-01-11,3281,5609,53.9055,20,54.144000000000005,S001,West
2022-01-12,2633,6317,60.7615,20,60.7275,S001,South
2022-01-13,2111,4540,51.6865,20,51.9015,S001,East
2022-01-14,2640,5303,51.397000000000006,20,51.349,S001,North
2022-01-15,2478,5569,57.59,20,57.8895,S001,North
2022-01-16,3490,5013,45.552,20,45.375,S001,East
2022-01-17,1903,3956,49.786,20,50.1275,S001,East
2022-01-18,2425,4465,61.75,20,61.722,S001,North
2022-01-19,2898,6135,62.37949999999999,20,62.732000000000006,S001,West
2022-01-20,3130,5991,64.07300000000001,20,63.569,S001,North
2022-01-21,2315,4692,51.158,20,51.661,S001,South
2022-01-22,2853,5961,46.501,20,46.932,S001,North
2022-01-23,1445,3507,54.5475,20,54.388,S001,West
2022-01-24,1926,4744,66.33500000000001,20,66.49199999999999,S001,South
2022-01-25,2533,5294,51.8365,20,51.2285,S001,East
2022-01-26,2332,4675,60.334,20,59.378,S001,South
2022-01-27,2330,5181,56.00600000000001,20,55.82000000000001,S001,South
2022-01-28,2138,5120,55.583000000000006,20,55.0405,S001,East
2022-01-29,2161,5448,57.42,20,56.912,S001,South
2022-01-30,3059,6541,59.419,20,60.133500000000005,S001,West
2022-01-31,3072,5940,53.0245,20,51.89,S001,West
2022-02-01,2479,4880,65.03,20,64.2935,S001,East
2022-02-02,3080,6895,50.986,20,51.61,S001,South
2022-02-03,1729,3740,56.7435,20,56.77049999999999,S001,South
2022-02-04,2012,4858,56.286,20,56.13250000000001,S001,South
2022-02-05,3757,6478,65.4985,20,65.6855,S001,South
2022-02-06,2081,5276,56.4345,20,56.2875,S001,North
2022-02-07,2810,5349,51.2325,20,52.286,S001,South
2022-02-08,3046,5865,48.5505,20,49.1595,S001,West
2022-02-09,1468,4911,53.346,20,54.0555,S001,South
2022-02-10,3012,5326,58.211,20,58.099,S001,South
2022-02-11,3580,6350,43.197,20,42.487,S001,East
2022-02-12,1941,5375,56.4295,20,56.44199999999999,S001,South
2022-02-13,2136,5739,55.74550000000001,20,55.1595,S001,North
2022-02-14,2958,5370,64.04650000000001,20,63.35850000000001,S001,North
2022-02-15,3133,5823,48.14,20,46.963,S001,North
2022-02-16,3591,5649,50.555,20,49.1485,S001,West
2022-02-17,2949,5528,51.924,20,51.274,S001,West
2022-02-18,2345,5815,52.7125,20,52.939,S001,South
2022-02-19,2203,4451,57.307500000000005,20,56.7975,S001,North
2022-02-20,2421,5264,57.4125,20,56.773,S001,South
2022-02-21,3438,5887,57.60850000000001,20,57.7005,S001,East
2022-02-22,2497,5674,45.3715,20,45.282,S001,East
2022-02-23,3498,5687,51.1065,20,51.287,S001,West
2022-02-24,3658,5508,43.513,20,43.4215,S001,East
2022-02-25,3351,6257,58.4265,20,58.7685,S001,North
2022-02-26,3076,5712,57.1645,20,56.9295,S001,North
2022-02-27,2652,5292,56.94350000000001,20,56.87050000000001,S001,North
2022-02-28,3173,6277,55.245000000000005,20,56.39149999999999,S001,South
2022-03-01,2530,5164,57.9985,20,56.751,S001,North
2022-03-02,2628,5683,51.019,20,51.1795,S001,South
2022-03-03,2758,5062,49.5885,20,48.9955,S001,South
2022-03-04,2682,4611,60.462,20,60.230500000000006,S001,South
2022-03-05,3280,5583,42.397,20,42.3445,S001,East
2022-03-06,3131,5763,64.6155,20,63.9985,S001,South
2022-03-07,3102,6356,63.0285,20,62.767,S001,North
2022-03-08,2545,5701,59.348,20,59.3395,S001,West
2022-03-09,3099,5201,51.891,20,51.9305,S001,South
2022-03-10,2606,5410,46.901,20,46.8775,S001,East
2022-03-11,2791,6133,58.9655,20,59.048,S001,North
2022-03-12,2601,6301,59.521,20,59.19500000000001,S001,East
2022-03-13,2759,5944,65.2455,20,65.2915,S001,North
2022-03-14,2354,5380,54.65,20,54.31699999999999,S001,West
2022-03-15,2551,4671,60.229,20,60.7325,S001,West
2022-03-16,2889,5900,56.05550000000001,20,54.383,S001,South
2022-03-17,1736,5187,53.919500000000006,20,53.575,S001,South
2022-03-18,3033,5066,40.1545,20,39.3155,S001,North
2022-03-19,2978,5383,49.093,20,48.669,S001,South
2022-03-20,2197,5045,63.215,20,62.7935,S001,East
2022-03-21,4284,6661,61.855500000000006,20,60.988,S001,North
2022-03-22,2528,4696,45.554,20,45.931,S001,North
2022-03-23,2957,5742,61.3905,20,61.3685,S001,South
2022-03-24,3097,5657,46.7185,20,46.9885,S001,North
2022-03-25,3410,5863,51.6745,20,51.24249999999999,S001,South
2022-03-26,2635,5511,68.4555,20,68.2355,S001,South
2022-03-27,3331,5245,49.2235,20,49.377,S001,South
2022-03-28,1747,4971,46.8895,20,46.9825,S001,West
2022-03-29,2239,5636,66.0715,20,65.889,S001,West
2022-03-30,2498,5867,49.6055,20,50.205,S001,South
2022-03-31,2723,6075,60.439,20,59.5795,S001,South
2022-04-01,1879,4849,58.6555,20,58.5285,S001,West
2022-04-02,2677,5144,54.843,20,56.121,S001,East
2022-04-03,2552,5268,57.4635,20,59.4635,S001,South
2022-04-04,2509,4203,49.8385,20,49.869,S001,North
2022-04-05,1571,5373,62.7475,20,62.815,S001,East
2022-04-06,2467,4980,52.74400000000001,20,52.185500000000005,S001,West
2022-04-07,2757,5019,61.8025,20,61.6185,S001,South
2022-04-08,2485,4938,53.104,20,52.776,S001,East
2022-04-09,2755,5736,40.794,20,40.3895,S001,North
2022-04-10,2360,4741,56.9035,20,56.88250000000001,S001,East
2022-04-11,3165,5066,58.3015,20,57.691,S001,South
2022-04-12,3267,5746,64.383,20,65.024,S001,West
2022-04-13,2764,5523,61.883500000000005,20,61.7935,S001,East
2022-04-14,2368,5178,58.057,20,56.705,S001,South
2022-04-15,1754,4649,65.864,20,64.9325,S001,West
2022-04-16,2426,4939,59.9125,20,60.304,S001,East
2022-04-17,3126,5595,66.9635,20,66.127,S001,West
2022-04-18,2647,6215,68.8015,20,68.0635,S001,South
2022-04-19,2360,4682,53.5245,20,52.726,S001,North
2022-04-20,2876,5593,57.005,20,57.4155,S001,North
